,TIN,NO,NO2,PM2.5,PM10,NOX,O3
15:00,20.6,14,31,22,31,52,24
16:00,21.1,10,35,20,28,50,24
17:00,21.2,19,47,22,33,77,11
18:00,20.7,47,61,29,39,132,1
19:00,20.3,115,69,35,49,245,1
20:00,20.2,82,68,28,45,193,1
21:00,20.1,59,61,26,39,151,1
22:00,19.7,37,52,24,35,108,1
23:00,19.3,33,47,22,32,97,1
24:00,19.0,27,45,22,30,85,1
01:00,18.6,17,40,19,27,67,1
02:00,18.4,11,37,23,25,53,1
03:00,18.4,17,35,23,31,60,1
04:00,18.5,18,30,24,28,58,1
05:00,18.2,16,30,19,27,54,1
06:00,18.3,55,34,18,24,119,1
07:00,18.6,149,51,23,26,279,1
08:00,18.1,202,55,27,29,365,1
09:00,19.1,138,51,20,36,262,2
10:00,20.2,77,44,25,37,162,3
11:00,20.4,36,38,13,26,93,6
12:00,21.1,25,35,15,27,74,15
13:00,21.3,14,30,8,19,51,26
14:00,*** N,*** N,*** N,*** N,*** N,*** N,*** N
